City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kahului,20.89,-156.47,87.8,55,40,5.82,US,2020-10-18
Kununurra,-15.77,128.73,78.8,94,80,5.82,AU,2020-10-18
Fort Saint James,54.43,-124.25,31.95,86,100,3.71,CA,2020-10-18
Baruun-Urt,46.68,113.28,34.97,75,0,9.04,MN,2020-10-18
Viedma,-40.81,-63.0,79.0,13,0,5.99,AR,2020-10-18
Kavaratti,10.57,72.64,80.71,81,36,11.74,IN,2020-10-18
Venado,22.93,-101.08,79.32,22,0,7.83,MX,2020-10-18
Vágur,61.47,-6.81,40.48,91,100,9.06,FO,2020-10-18
Conway,35.09,-92.44,75.2,73,90,4.7,US,2020-10-18
Chicama,-7.84,-79.15,66.2,77,51,11.41,PE,2020-10-18
Lavrentiya,65.58,-171.0,36.3,86,23,4.5,RU,2020-10-18
Brae,60.4,-1.35,41.0,86,100,8.05,GB,2020-10-18
Ligayan,4.65,119.47,82.51,75,100,20.13,PH,2020-10-18
Jaisalmer,26.91,70.92,83.61,29,23,2.24,IN,2020-10-18
Cortland,42.6,-76.08,55.99,30,1,11.41,US,2020-10-18
Kloulklubed,7.04,134.26,82.4,78,90,8.05,PW,2020-10-18
Hong Kong,22.29,114.16,73.99,75,18,10.22,HK,2020-10-18
Kodinsk,58.69,99.18,26.98,95,4,8.37,RU,2020-10-18
Were Īlu,10.6,39.43,49.14,74,10,7.58,ET,2020-10-18
LaBelle,26.76,-81.44,89.6,58,2,19.46,US,2020-10-18
Mount Isa,-20.73,139.5,78.8,31,0,8.05,AU,2020-10-18
Horsham,51.06,-0.33,52.0,87,20,2.24,GB,2020-10-18
Pitimbu,-7.47,-34.81,80.6,69,20,12.75,BR,2020-10-18
Nongpoh,25.9,91.88,69.6,94,0,3.0,IN,2020-10-18
Husavik,66.04,-17.34,41.0,80,90,17.22,IS,2020-10-18
George Town,5.41,100.34,80.6,83,20,3.36,MY,2020-10-18
Naliya,23.27,68.83,84.33,75,34,4.88,IN,2020-10-18
Flinders,-34.58,150.86,60.01,81,86,3.0,AU,2020-10-18
Vargem Grande,-3.54,-43.92,86.45,50,100,5.68,BR,2020-10-18
Dzerzhinskoye,56.83,95.23,31.57,91,1,11.03,RU,2020-10-18
Sibolga,1.74,98.78,77.32,73,100,2.93,ID,2020-10-18
Havre-St-Pierre,50.23,-63.6,44.6,56,1,5.82,CA,2020-10-18
Bo Rai,12.57,102.54,73.99,95,100,1.01,TH,2020-10-18
La Ronge,55.1,-105.28,28.4,74,90,11.41,CA,2020-10-18
Gogāpur,23.55,75.52,78.08,74,70,4.09,IN,2020-10-18
Honningsvåg,70.98,25.97,37.4,93,40,5.82,NO,2020-10-18
Waliso,8.53,37.98,54.41,64,31,5.7,ET,2020-10-18
Salzwedel,52.85,11.15,46.99,90,100,4.0,DE,2020-10-18
Iglesias,39.31,8.54,57.99,87,5,5.82,IT,2020-10-18
Broome,42.25,-75.83,57.99,30,1,10.29,US,2020-10-18
Clonakilty,51.62,-8.87,54.0,93,75,11.41,IE,2020-10-18
Mizdah,31.45,12.98,59.68,61,16,9.51,LY,2020-10-18
Abonnema,4.71,6.79,78.8,88,75,2.24,NG,2020-10-18
Kumul,42.8,93.45,42.91,53,63,1.68,CN,2020-10-18
Nemuro,43.32,145.57,53.4,69,0,14.45,JP,2020-10-18
Kuala Terengganu,5.33,103.14,77.0,94,20,2.24,MY,2020-10-18
Dingle,11.0,122.67,76.28,91,100,5.21,PH,2020-10-18
Zambezi,-13.54,23.1,72.93,22,1,5.93,ZM,2020-10-18
Son La,21.32,103.9,60.73,92,100,1.1,VN,2020-10-18
Tura,25.52,90.22,72.64,90,0,1.63,IN,2020-10-18
Saint-Augustin,51.23,-58.65,50.43,60,0,4.74,CA,2020-10-18
Tuy Hoa,13.08,109.3,75.42,90,100,9.78,VN,2020-10-18
Ahipara,-35.17,173.17,63.37,75,20,10.2,NZ,2020-10-18
Berlevåg,70.86,29.09,28.4,92,40,4.7,NO,2020-10-18
Eureka,40.8,-124.16,64.99,72,1,3.36,US,2020-10-18
Along,28.17,94.77,66.43,87,14,1.63,IN,2020-10-18
Majene,-3.54,118.97,78.17,80,99,4.92,ID,2020-10-18
Aquiraz,-3.9,-38.39,82.4,74,97,12.75,BR,2020-10-18
Isla Vista,34.41,-119.86,91.99,73,20,4.7,US,2020-10-18
Wangqing,43.32,129.76,34.38,86,0,1.39,CN,2020-10-18
Grand Gaube,-20.01,57.66,72.0,74,0,4.0,MU,2020-10-18
Almaznyy,48.04,40.05,60.8,59,100,8.95,RU,2020-10-18
Presidencia Roque Sáenz Peña,-26.79,-60.44,94.89,36,5,7.02,AR,2020-10-18
Coyhaique,-45.58,-72.07,41.0,80,90,12.75,CL,2020-10-18
Faanui,-16.48,-151.75,79.45,79,39,8.72,PF,2020-10-18
Bonavista,48.65,-53.11,51.01,78,100,5.66,CA,2020-10-18
Aksu,41.12,80.26,48.31,48,0,2.28,CN,2020-10-18
Kargasok,59.06,80.86,29.68,93,99,15.21,RU,2020-10-18
Cravo Norte,6.3,-70.2,87.33,62,89,4.94,CO,2020-10-18
Lingao,19.91,109.69,75.92,82,100,21.77,CN,2020-10-18
Mangan,27.52,88.53,69.13,50,60,2.33,IN,2020-10-18
Kimbe,-5.55,150.14,76.08,90,100,3.76,PG,2020-10-18
Petites Anses,15.85,-61.64,87.8,78,9,8.05,GP,2020-10-18
Knysna,-34.04,23.05,55.4,100,56,2.24,ZA,2020-10-18
Antalaha,-14.9,50.28,70.38,84,6,7.27,MG,2020-10-18
Dehlorān,32.69,47.27,72.97,19,0,4.61,IR,2020-10-18
Pokhara,28.23,83.98,67.95,62,24,2.89,NP,2020-10-18
Bintulu,3.17,113.03,78.8,88,40,2.24,MY,2020-10-18
Mana,5.66,-53.78,82.71,74,1,10.38,GF,2020-10-18
San Patricio,28.02,-97.52,91.4,43,20,14.99,US,2020-10-18
Kruisfontein,-34.0,24.73,55.0,85,17,3.22,ZA,2020-10-18
Ola,59.58,151.28,33.82,91,98,9.37,RU,2020-10-18
Havøysund,71.0,24.66,37.4,93,40,5.82,NO,2020-10-18
Hwange,-18.37,26.5,75.38,21,0,2.66,ZW,2020-10-18
Ketchikan,55.34,-131.65,44.6,75,90,9.17,US,2020-10-18
Lagodekhi,41.83,46.28,60.8,67,0,11.41,GE,2020-10-18
Santa Maria,-29.68,-53.81,78.64,56,0,4.68,BR,2020-10-18
Lata,40.16,-8.33,59.0,55,79,5.61,PT,2020-10-18
Kuandian,40.73,124.78,42.03,63,0,2.3,CN,2020-10-18
Znamenskoye,57.13,73.83,30.76,94,69,7.0,RU,2020-10-18
Znamenka,52.42,41.43,43.75,70,13,11.5,RU,2020-10-18
Narrabri,-30.32,149.78,57.2,87,90,3.36,AU,2020-10-18
Kukuna,9.4,-12.67,77.79,88,100,3.09,SL,2020-10-18
San Jose,37.34,-121.89,87.01,25,1,6.93,US,2020-10-18
Manta,-0.95,-80.73,80.6,65,75,11.41,EC,2020-10-18
Vazante,-17.99,-46.91,77.25,63,38,5.03,BR,2020-10-18
Smidovich,48.6,133.82,31.39,82,80,8.97,RU,2020-10-18
Morondava,-20.28,44.28,74.53,90,16,6.6,MG,2020-10-18
Songjianghe,42.19,127.48,32.97,87,0,6.02,CN,2020-10-18
Popondetta,-8.75,148.25,76.53,85,100,2.62,PG,2020-10-18
Houma,29.6,-90.72,84.2,62,75,10.29,US,2020-10-18
Barwādih,23.83,84.12,70.88,82,0,1.88,IN,2020-10-18
Berdyaush,55.16,59.15,38.86,71,100,5.21,RU,2020-10-18
Padang,-0.95,100.35,77.85,77,83,3.74,ID,2020-10-18
Necochea,-38.55,-58.74,64.0,68,57,3.0,AR,2020-10-18
Waterloo,43.47,-80.52,55.0,66,90,13.87,CA,2020-10-18
Ongandjera,-17.88,15.07,78.01,17,0,7.58,NA,2020-10-18
Avera,33.19,-82.53,73.4,60,75,9.17,US,2020-10-18
Huainan,32.63,117.0,56.03,58,74,3.85,CN,2020-10-18
Nānākuli,21.39,-158.15,84.2,70,20,8.05,US,2020-10-18
Meulaboh,4.14,96.13,76.01,83,100,4.05,ID,2020-10-18
Kirakira,-10.45,161.92,82.36,78,98,7.65,SB,2020-10-18
Pochutla,15.74,-96.47,90.0,58,40,9.17,MX,2020-10-18
Khovd,48.01,91.64,38.89,62,100,7.81,MN,2020-10-18
Paamiut,61.99,-49.67,42.4,84,45,36.86,GL,2020-10-18
Saint-Pierre,-21.34,55.48,70.0,68,0,3.36,RE,2020-10-18
Peski,55.22,38.76,35.6,80,75,11.18,RU,2020-10-18
Linjiang,41.81,126.91,35.89,80,0,1.9,CN,2020-10-18
Barreiras,-12.15,-44.99,86.49,36,73,1.86,BR,2020-10-18
Algiers,36.75,3.04,59.0,87,41,1.12,DZ,2020-10-18
San Fernando del Valle de Catamarca,-28.47,-65.79,100.0,31,0,15.01,AR,2020-10-18
Caucayá,-0.19,-74.78,84.74,65,86,2.04,CO,2020-10-18
San Cristobal,7.77,-72.22,93.2,34,20,14.99,VE,2020-10-18
Cabra,37.47,-4.44,61.0,45,1,4.88,ES,2020-10-18
Itoman,26.12,127.67,77.0,83,20,11.41,JP,2020-10-18
Kalāleh,37.38,55.49,66.33,21,0,5.21,IR,2020-10-18
Mossendjo,-2.95,12.73,71.71,97,100,5.53,CG,2020-10-18
Sørland,67.67,12.69,32.0,62,26,5.82,NO,2020-10-18
Aasiaat,68.71,-52.87,36.14,81,100,24.25,GL,2020-10-18
Hamada,34.88,132.08,59.0,36,100,5.12,JP,2020-10-18
Bengkulu,-3.8,102.27,74.86,93,100,5.97,ID,2020-10-18
Potenza Picena,43.37,13.62,52.0,68,0,2.84,IT,2020-10-18
Ardino,41.58,25.13,57.99,54,75,11.41,BG,2020-10-18
Tiznit Province,29.58,-9.5,69.78,34,100,3.71,MA,2020-10-18
Malakal,9.53,31.66,72.43,93,92,3.65,SS,2020-10-18
Huilong,31.81,121.66,64.0,75,69,5.91,CN,2020-10-18
Bay Roberts,47.6,-53.26,55.0,92,99,3.0,CA,2020-10-18
Flin Flon,54.77,-101.86,32.0,89,75,13.87,CA,2020-10-18
Vestmanna,62.16,-7.17,39.2,93,100,6.93,FO,2020-10-18
Najrān,17.49,44.13,69.8,22,0,8.05,SA,2020-10-18
Moundsville,39.92,-80.74,60.8,44,90,6.93,US,2020-10-18
Barra,-11.09,-43.14,86.56,41,55,9.33,BR,2020-10-18
Los Zacatones,22.95,-102.05,77.0,17,20,11.41,MX,2020-10-18
Salinópolis,-0.61,-47.36,81.14,76,67,11.39,BR,2020-10-18
Calabar,4.95,8.32,74.98,91,73,2.82,NG,2020-10-18
Trairi,-3.28,-39.27,79.72,73,97,11.72,BR,2020-10-18
Xai-Xai,-25.05,33.64,72.09,70,0,10.4,MZ,2020-10-18
Khilok,51.37,110.47,32.68,89,92,3.8,RU,2020-10-18
Kaeo,-35.1,173.78,63.0,85,20,8.99,NZ,2020-10-18
Pemangkat,1.17,108.97,77.54,85,99,4.72,ID,2020-10-18
La Palma,33.85,-118.05,84.0,48,1,4.7,US,2020-10-18
Sungai Penuh,-2.08,101.38,65.61,89,97,1.39,ID,2020-10-18
Alice Springs,-23.7,133.88,71.6,40,79,14.99,AU,2020-10-18
Dudinka,69.41,86.18,15.8,92,90,6.71,RU,2020-10-18
Palana,59.12,159.97,34.61,100,100,11.79,RU,2020-10-18
Pierre,44.37,-100.35,39.0,34,1,3.36,US,2020-10-18
Nenita,12.49,124.8,78.8,90,100,6.06,PH,2020-10-18
Banjar,-8.19,114.97,80.6,83,40,2.24,ID,2020-10-18
Poum,-20.23,164.02,73.63,74,0,16.89,NC,2020-10-18
Nueva Loja,0.08,-76.88,86.0,62,40,4.7,EC,2020-10-18
Dunedin,-45.87,170.5,51.01,88,100,0.43,NZ,2020-10-18
Bayanday,53.07,105.51,36.01,80,100,1.72,RU,2020-10-18
Valdez,1.25,-78.98,79.65,81,64,17.76,EC,2020-10-18
Christchurch,-43.53,172.63,59.0,93,100,1.12,NZ,2020-10-18
Kuching,1.55,110.33,73.4,100,40,4.7,MY,2020-10-18
Kisanga,-7.44,37.7,76.91,72,14,6.55,TZ,2020-10-18
Oddur,4.12,43.89,73.6,80,77,15.43,SO,2020-10-18
Parfino,57.97,31.65,39.36,83,98,11.05,RU,2020-10-18
Xuanwu,32.07,118.81,60.01,68,76,4.29,CN,2020-10-18
Olinda,-8.01,-34.86,80.6,69,20,12.75,BR,2020-10-18
Half Moon Bay,37.46,-122.43,82.99,82,1,5.82,US,2020-10-18
Sangar,63.92,127.47,13.87,96,97,5.64,RU,2020-10-18
Miandrivazo,-19.52,45.47,77.88,73,43,5.17,MG,2020-10-18
Carballo,43.21,-8.69,59.0,93,76,4.7,ES,2020-10-18
Boyolangu,-8.12,111.89,75.69,88,99,4.92,ID,2020-10-18
Lensk,60.73,114.93,20.35,94,100,4.07,RU,2020-10-18
Pemba,-12.97,40.52,77.0,83,40,5.82,MZ,2020-10-18
General Roca,-39.03,-67.58,77.0,23,0,5.82,AR,2020-10-18
Calvinia,-31.47,19.78,60.64,50,99,3.71,ZA,2020-10-18
Turaif,31.67,38.66,66.2,23,0,6.93,SA,2020-10-18
Oranjemund,-28.55,16.43,58.59,85,0,13.42,NA,2020-10-18
Verkhnyaya Inta,65.98,60.31,24.22,97,80,5.3,RU,2020-10-18
Hof,50.32,11.92,43.0,89,100,7.0,DE,2020-10-18
Barranca,-10.75,-77.77,65.89,71,46,10.33,PE,2020-10-18
Calatayud,41.35,-1.64,55.4,82,62,1.23,ES,2020-10-18
Parabel',58.7,81.48,29.82,93,93,14.85,RU,2020-10-18
Anadyr,64.75,177.48,19.4,92,0,4.47,RU,2020-10-18
Bonthe,7.53,-12.51,78.58,88,100,7.09,SL,2020-10-18
Mezen',65.85,44.24,32.74,96,100,8.01,RU,2020-10-18
Bilma,18.69,12.92,83.88,15,0,5.95,NE,2020-10-18
Honolulu,21.31,-157.86,84.2,66,75,6.93,US,2020-10-18
Nālūt,30.33,10.85,62.69,57,0,16.49,LY,2020-10-18
